authors,content,doc_id,note
Jean-Marc Jancovici,"Dernière chronique du Samedi matin sur RTL avant le premier tour. Elle part du dernier rapport du GIEC, celui du groupe 3, qui porte sur les marges de manoeuvre.   Ce rapport est par nature bien plus délicat à interpréter que les groupes 1 et 2. Reprenons du début : un rapport du GIEC part toujours de ce qui a été publié dans les revues à comité de lecture des disciplines couvertes. Pourle groupe 3, il s'agit très souvent d'économie.  Conséquence logique : la synthèse du groupe 3 ""incorpore"" donc - mais sans le rappeler - les limites de l'économie en général. Cette discipline s'appuie avant tout sur des conventions humaines, ou sur des scénarios qui partent d'hypothèses postulées et non démontrées.  Première limite : parler prix est par définition supposer l'existence d'un marché (c'est tellement évident ; on l'oublie souvent !). Mais tout n'est pas marchand dans nos sociétés. Pour revenir à l'actualité du jour, le droit de vote n'a pas de valeur marchande, or l'avoir ou pas change un peu l'avenir...  Après il y a des limites qui viennent non pas des outils utilisés mais de nos ""oeillères"" culturelles. Par exemple je ne connais pas de simulations économiques qui explorent une productivité qui décroit à peu près comme les émissions (parce que les émissions c'est de l'énergie, l'énergie c'est des machines, et ce qui a augmenté la productivité ce sont les machines !). Du coup la productivité augmente par hypothèse dans tous les travaux économiques, et en conséquence les marges de manoeuvre techniques sont systématiquement ""de moins en moins chères"". Est-ce si sur ?  L'économie théorique prend toujours le PIB (ou la productivité du travail et la population, ce qui revient au même) comme donnée d'entrée des modèles et non comme donnée de sortie. Comme la croissance est désirable (!), le PIB est supposé croissant, et ""appelle"" des ressources conventionnellement disponibles.   Impossible de voir venir les limites physiques à la production - qui existent pourtant - avec un tel raisonnement !  Cela explique pourquoi on trouve p. 27 du résumé pour décideur - https://lnkd.in/e_6VyaAy - l'hypothèse que le PIB croit sans discontinuer jusqu'en 2100 quel que soit le scénario d'émission :).  Avant la publication de ce rapport, The Shift Project a envoyé au GIEC une remarque pour souligner que :  - les scénarios hauts (SSP 8.5 voire 7.0 ; https://lnkd.in/ehJGzTmi ) supposent une disponibilité en combustibles fossiles qui pose question.   - les scénarios bas (SSP 2.6 et SSP 1.9) supposent un découplage entre émissions et PIB - et donc un découplage entre émissions et productivité du travail - qui pose aussi question.  Rappelons que le GIEC a pour mandat d'informer mais non de prescrire l'action (en anglais on dit ""policy relevant but not policy prescriptive""). Mais l'économie ne permet pas de bien faire la différence. Est-ce ne pas être ""prescriptif pour l'action"" quand on écrit que toute marge de manoeuvre peut s'inscrire dans un avenir en croissance ?         ",439,3.0
Jean-Marc Jancovici,"Le Plan de transformation de l'économie française (PTEF) a été mis à la question au sens propre du terme par les étudiant(e)s de l'Institut Agro Rennes-Angers, qui m'ont ""passé sur le gril"" sur divers chapitres de ce travail.  Plutôt que de faire une conférence ""classique"" dont il existe déjà N versions enregistrées sur Youtube (https://lnkd.in/egH_JQ6R ), j'ai proposé à mes interlocuteurs de faire la chose suivante : commencer par regarder une des vidéos en question, puis consacrer l'intégralité du temps passé avec votre serviteur à un échange autour des questions nées du visionnage.  Là, l'idée a été de structurer toutes les questions - posées par des étudiantes (pas assez alors que l'agro est aux 2/3 féminine...) et des étudiants - autour des chapitres du PTEF. J'espère que l'exercice aura intéressé l'auditoire, en tous cas il aura au moins eu le mérite de m'éviter de répéter tout le temps la même chose !         ",440,3.0
Jean-Marc Jancovici,"Solution miracle pour les uns, fausse bonne idée pour les autres, la voiture électrique se retrouve désormais souvent au centre de débats passionnés sur la place qu'elle doit occuper pour remplacer ces satanées voitures à pétrole qui puent et qui polluent.  A travers une première série de questions-réponses, Carbone 4 vous propose de faire un état des lieux sur l'aspect ""carbone"" de l'affaire, pour vous aider à situer la voiture électrique par rapport à ses alternatives (dont la voiture hybride), et vous aider aussi à comprendre que même au sein de l'électrique il y a plus ou moins vertueux en matière de carbone selon que l'on a une petite voiture ou un e-tank.  Bonne lecture !         ",441,2.0
Jean-Marc Jancovici,"Ce n'est pas une association militante qui le dit, mais la banque centrale européenne : une évaluation sur 109 grandes banques commerciales de la zone euro montre que ces dernières ne sont pas au bon niveau en ce qui concerne la gestion de leurs risques climatiques, et, d'après Les Echos, ""ne répondent pas pleinement aux attentes de la supervision"".  De quels risques parle-t-on ? Il y en a deux principalement en matière de climat. Le premier est dit ""de transition"". Il correspond à la situation ou un prêt ou une action vont perdre de la valeur, parce que l'emprunteur se retrouve en défaut partiel ou total à cause d'un contexte réglementaire qui l'empêche d'exercer son activité comme avant. Par exemple si une banque détient des actions d'un opérateur de réseau de gaz et que la collectivité décide que le gaz ne doit plus être utilisé, ces actions perdent en valeur.  Or les actifs d'une banque sont essentiellement constitués d'obligations - qui sont des ""morceaux de prêt"" - et de prêts ""ordinaires"" (le prêt est au passif de l'emprunteur mais à l'actif de la banque !), avec quelques actions et autres titres (immobilier par exemple). Si une fraction trop importante de ces actifs sont impactés à la baisse par les contraintes de la transition, la banque est en risque.  Une variante du risque de transition est que ce ne soit pas la réglementation qui empêche d'émettre du CO2, mais un défaut d'approvisionnement en combustibles fossiles (suivez mon regard du côté de la situation actuelle), qui finira par arriver de toute façon puisque ces combustibles sont épuisables.  Le deuxième risque est dit ""physique"". Il correspond au risque de défaut lié au fait que l'entreprise ou le pays dont on détient une obligation, un prêt ou une action pourrait voir ses opérations impactées à cause des conséquences du changement climatique.  Apprécier ces risques est compliqué. Il faut bien comprendre l'ensemble de la chaine de valeur dans laquelle s'insère l'entité que l'on regarde, puisque sa vulnérabilité est aussi celle de ses clients ou fournisseurs. Cela demande des compétences, des données, du temps, et pire encore d'envisager des éventualités désagréables, chose que peu de gens aiment faire. Et apprécier si les banques sont au bon niveau suppose des compétences encore plus importantes du côté du régulateur, soit dit en passant.  Du coup, il n'est pas très étonnant que le système financier dans son ensemble n'y soit pas encore. Par contre, ne pas mettre les moyens pour y être rapidement serait encore plus étonnant, maintenant que nous savons ce que nous savons.         ",442,4.0
Jean-Marc Jancovici,"Dans les infrastructures qui structurent le fonctionnement des pays en ce début de 21è siècle, il y a notamment les systèmes énergétiques. Les événements survenant actuellement à l'est de l'Europe montrent bien l'inertie associée à leur évolution : quand on s'est créé un réseau de gaz pour alimenter des appareils de chauffage au gaz, de la production industrielle au gaz et de la production électrique au gaz, on ne change pas cela en une semaine.  Il en va de même avec les transports : quand on a structuré les déplacements de personnes et de marchandises avec des routes (construites et entretenues avec du pétrole, puisque ce dernier fait à la fois fonctionner les engins de chantier et fournit le revêtement - le bitume) pour y faire circuler des véhicules à peu près tous dotés d'un moteur à combustion interne, on ne se passe pas du pétrole en une semaine non plus.  Le débat qui a eu lieu au dernier forum des travaux publics entre Xavier Neuschwander et votre serviteur portait justement sur la possibilité de réorienter le secteur des infrastructures en faveur d'une économie décarbonée. En effet, l'utilisation des infrastructures de toute nature situées en France est à l'origine de la moitié de l'empreinte carbone de notre pays. Décarboner cet usage est donc indispensable, tout comme il est indispensable de le planifier puisque, à l'évidence, supprimer les émissions associées à court terme ne peut se faire qu'en se privant du service associé, perspective que peu de gens acceptent.  Dans le débat, il a été question à la fois du plan de transformation de l'économie française (qui n'a pas de chapitre explicitement dédié aux infrastructures, mais ces dernières sont présentes en filigrane un peu partout), et d'une analyse que Carbone 4 a publiée il y a quelques mois sur le sujet (https://lnkd.in/eYXaufiz ).  La crise ukrainienne ne sera pas la seule que nous allons avoir sur les 30 ans qui viennent, malheureusement. A quelque chose malheur est bon : il faudrait au moins qu'elle serve de déclencheur puissant à une nouvelle trajectoire pour le pays et pour l'Europe (trajectoire dont la ""sécurisation des approvisionnements en hydrocarbures auprès d'autres fournisseurs"" ne peut constituer qu'un palliatif de très court terme).         ",443,4.0
Jean-Marc Jancovici,"Etre invité sur Fun Radio, c'est bien la dernière chose à laquelle je m'attendais lorsque The Shift Project s'est mis à la planche à dessin pour accoucher du Plan de Transformation de l'Economie Française.  Un media évoque rarement des sujets qui vont complètement le couper de son audience. J'ai donc envie de penser (j'espère pas à tort !) que si j'ai été convié à causer sur cette antenne, c'est parce que de l'autre côté du poste de radio (ou de l'ordinateur ou du téléphone) à cette heure là (âge moyen 18 à 35 ans m'a-t-on dit) il y a de l'intérêt.  On ne va pas s'en plaindre, tout le rebours. Pour effectuer dans la durée (des décennies) la transformation de notre économie, il est essentiel d'y intéresser dès à présent la jeune génération, qui devra idéalement avoir envie de se former sur les emplois dont la société devra disposer, et avoir envie d'adopter un ""mode de vie"" qui soit en adéquation avec les possibilités physiques du monde.  Il semblerait que l'envie de voir des propositions (sérieuses de préférence) sur l'environnement ne soit pas limité aux auditeurs de cette radio (tant mieux !) si l'on en croit cet article du Monde : https://lnkd.in/eSCUx55x  The Shift Project a prévu un dispositif ""d'interpellation"" des candidat(e)s sur les thèmes qui nous sont chers, pour savoir ce qu'ils proposent et donner notre avis. Nous espérons ainsi contribuer à un choix plus éclairé, tout en sachant que ces sujets demandent du temps pour être travaillés correctement, et que des responsables politiques qui se réveilleraient maintenant en se disant qu'il faut qu'ils s'en occupent ne pourront rien faire d'autre que de récupérer des propositions ""sur étagères"".   Nous espérons évidemment qu'à ce moment ils auront envie de s'inspirer de notre plan !         ",444,4.0
Jean-Marc Jancovici,"Il était à un peu moins de 60 dollars il y a un an, et même transitoirement à -37 dollars en avril 2020, au moment du premier confinement planétaire du au covid : le baril de pétrole approche désormais les 100.   Cette hausse n'est pas complètement une surprise : au moment du covid, le prix s'étant effondré, les investissements dans la production ont fait de même, et du coup au moment où le monde voudrait en consommer plus, l'offre ne suit pas.  Les pays de l'OPEP+, par exemple (l'OPEP + rassemble les pays de l'OPEP et une dizaine d'autres dont la Russie, le Kazakhstan et le Mexique) produisent actuellement en dessous du quota qu'ils se sont fixé. Dans les diverses causes auxquelles on peut penser, il y a tout simplement le fait qu'il ne leur est techniquement pas possible de sortir plus de barils actuellement, par manque de capacités de production... ou de pétrole à extraire.  Certains de ces pays ont en effet passé leur pic de production de manière certaine (le Mexique, l'Algérie, le Nigéria ou encore le Venezuela, et la Russie - 30% du pétrole utilisé en Europe - n'en est pas loin si ce n'est déjà fait) et la question se pose pour d'autres.   Rappelons que, pour le pétrole dit ""conventionnel"" (tout ce qui n'est pas shale oil et sables bitumineux), le pic mondial a été passé en 2008, aux dires de l'Agence Internationale de l'Energie.   Du coup, et c'est exactement ce que suggère cet article, en cas d'insuffisance de production, il n'y a pas d'autre manière d'équilibrer la situation que de détruire de la demande. Cela passe notamment par des prix qui montent.   Il est assez facile de théoriser que lorsque l'économie manque d'un facteur de production qui lui est essentiel (ce qui est le cas pour le pétrole, sans lequel il n'y a pas de monde ""moderne""), le prix de ce dernier devient volatil. Au début, le prix monte, mais comme par ailleurs la substance est physiquement indispensable, son défaut détruit du PIB. Cette destruction fait baisser la demande, et du coup le prix baisse.   A ce moment les producteurs ne sont pas incités à faire sortir de terre le baril marginal (qui est le plus cher), alors que les gisements en cours d'exploitation voient globalement leur production baisser, et l'offre se tasse. Même avec une demande diminuée, le prix se met alors à remonter, et c'est reparti pour un cycle. La ""longueur d'onde"" de cette volatilité est notamment fonction du temps de mise en oeuvre des investissements pour faire remonter (autant que faire se peut) la production.  Ne pas décarboner nos économies (et en particulier ne pas les ""dépétroliser"") de manière organisée nous exposera de manière structurelle à cette volatilité des prix du pétrole, et, par effet de ricochet, à une volatilité de beaucoup d'autres prix (comme ceux du gaz. Et du coup, cela légitime cette plaisanterie des personnes du secteur : en matière de pétrole, vous pouvez donner un prix ou vous pouvez donner une date, mais jamais les deux en même temps !         ",445,3.0
Jean-Marc Jancovici,"Pour une fois, j'espère bien me tromper. J'ai indiqué lors de ma dernière chronique sur RTL - Samedi dernier - que la conjonction qui est en train de se mettre en place pour les pays du Maghreb ressemble étrangement à ce qui s'est observé au moment du déclenchement du ""Printemps Arabe"", il y a une dizaine d'années.   A l'époque, les troubles s'étaient déclenchés à cause d'un prix de l'alimentation devenu très difficile à supporter pour une partie de la population, en réponse à une production domestique insuffisante encore affaiblie par une sécheresse croissante (cohérente avec ce qui est attendu dans le cadre du réchauffement climatique), des importations dont les prix avaient fortement augmenté, et des recettes à l'exportation - notamment le tourisme - pas au mieux à cause de la ""crise financière"" de 2008 : https://lnkd.in/gaY7nrE  Qu'observe-t-on aujourd'hui ? Une sécheresse qui continue à être présente voire qui s'intensifie (voir par exemple https://lnkd.in/efJaRyx9 ou https://lnkd.in/eyqiqNta ) ; un prix des céréales qui s'approchait déjà de son niveau de 2010 avant la guerre en Ukraine (https://lnkd.in/evf6a5ye ) et qui pourrait encore monter, et un tourisme un peu déprimé par le covid.   Si l'on s'intéresse aux flux physiques, dans les gros acheteurs de blé russe/ukrainien, il y a notamment l'Egypte.   Bref cette chronique était essentiellement là pour rappeler que, dans notre monde interconnecté et mondialisé, tout problème ""local"" peut toujours s'étendre ailleurs, et ces effets domino seront d'autant plus amples que la situation de départ comporte peu de marges.         ",446,4.0
Jean-Marc Jancovici,"C'est le monde à l'envers : permettant de diminuer les émissions de la production électrique de 60% environ par rapport au charbon, le gaz devait aider à supprimer ce dernier de notre mix électrique (et donc pour l'essentiel de notre mix énergétique, car l'essentiel du charbon sert à produire de l'électricité). C'était bien là une des directions prises par les pays européens, surtout ceux qui n'avaient pas très envie d'entendre parler de nucléaire.  Mais le plan n'avait pas prévu l'éventualité qu'il puisse y avoir un défaut d'approvisionnement en gaz, et des prix qui grimpent au plafond. Que faire en pareil cas ?  Impossible d'avoir beaucoup plus d'ENR à bref délai : ces modes sont soit déjà injectés pour la totalité de leur production (éolien, solaire et biogaz) et des capacités additionnelles sont lentes à arriver, soit ne peuvent augmenter leur production (hydraulique ; tout le contenu des barrages est déjà utilisé).   Impossible d'avoir beaucoup plus de nucléaire (hors problème de capacité disponible comme en France que l'on peut espérer résoudre à l'horizon de l'année) : à part en France, où les réacteurs font du suivi de charge (parce que nous avons beaucoup de nucléaire), le nucléaire produit en base, c'est à dire en permanence. En outre on ne rajoute pas un réacteur en quelques mois !   Il reste une possibilité : augmenter la production au charbon. Il s'agit bien du charbon (ou de la houille) et non du lignite, ce dernier combustible étant le charbon de ""mauvaise qualité"" (teneur en carbone pas très élevée beaucoup d'eau) qui s'exploite avec des excavatrices géantes dans des mines à ciel ouvert, et qui lui aussi produit en général à puissance maximale en permanence (du moins en Allemagne).  Les centrales à charbon de type ""houille"" ont généralement un facteur de charge inférieur à 100%. Si on trouve du charbon (car une bonne partie est importée en Europe) on peut donc augmenter la production au charbon en cas de défaut de gaz, ou de prix trop élevé.  Et c'est exactement ce qui s'est passé en Europe en 2021, avec une hausse de près de 20% de la production électrique au charbon.         ",447,3.0
Jean-Marc Jancovici,"Depuis le début du conflit en Ukraine, des appels au ""boycott du gaz russe"" ont commencé à apparaître ici ou là.   Dans ma chronique d'hier sur RTL, il a été question (une fois de plus, mais 3 minutes seulement, et probablement pour une audience qui n'est pas uniquement celle de ce réseau social :) ) de l'importance de la Russie dans la consommation européenne de pétrole, gaz et charbon.  Cela m'a donné l'occasion de faire un petit calcul d'ordre de grandeur : le gaz importé de Russie représente (en Europe) 3 fois la consommation française. Si l'Union devait s'en passer, comme le GNL ne peut que doubler à bref délai, et que l'Algérie et la Mer du Nord sont en déclin, la moitié des importations russes serait remplacée par... rien, soit environ 15% de la consommation européenne.   Je ne connais pas les proportions pour l'Europe dans son ensemble, mais en France plus de la moitié du gaz (importé en totalité) sert au chauffage des bâtiments. 15% du gaz en moins, s'il était imputé uniquement sur le chauffage, conduirait à 30% de surfaces chauffées en moins, ou... à 4 à 5°C de baisse du thermostat partout (on a coutume de dire que 1°C de baisse c'est 7% de consommation en moins).  Pour ne plus être dans cette situation de dépendance, une seule solution à terme : se passer de gaz presque partout. Dans le chauffage, cela veut dire isolation et pompes à chaleur ou, avec beaucoup de limites, bois.  Se passer de gaz dans le chauffage, c'est du reste exactement l'angle choisi dans le Plan de Transformation de l'Economie Française du Shift Project. En conséquence, nous proposons de supprimer progressivement le réseau de gaz presque partout (puisqu'il n'y a plus de gaz dans le chauffage !).  Cet objectif n'est pas si révolutionnaire qu'on le pense : en Suède, par exemple, il n'y a jamais eu de gaz dans le chauffage, et donc il n'y a jamais eu de réseau de gaz significatif (voir carte sur https://lnkd.in/e6H-QsAM par exemple).  Mais, bien évidemment, la mise en oeuvre d'un tel plan demande quelques décennies et non quelques jours. A très court terme, donc, se passer du gaz russe c'est se passer d'une partie du thermostat. Et pour l'Allemagne, qui dépend bien plus du gaz russe que la France (environ la moitié de sa consommation en 2020), ca serait même probablement se passer d'une partie de son électricité.         ",448,4.0
Jean-Marc Jancovici,"Cela ne compensera pas le silence assourdissant que les media ont eu sur le rapport du groupe 2 du GIEC, mais c'est toujours bon à prendre : les auditrices et auditeurs de RTL ont eu droit à 3 minutes sur la question dans la matinale d'aujourd'hui.  En 3 minutes il a fallu essayer de résumer au moins mal le message scientifique, ce qu'il faut en déduire sur l'urgence de l'action pour ce que l'on peut encore gérer, et le rôle des media dans la faiblesse de l'information sur la question.  Jusqu'au 31 décembre 2099 il y aura toujours plus urgent que 2100. Mais attendre que nous soyons sortis du ""problème du moment"" pour s'attaquer à la question du climat est garantir que ce sont les crises qui règleront le problème à notre place : à cause des diverses limites planétaires qui sont désormais partout autour d'une humanité à 8 milliards, consommant comme elle le fait maintenant, nous allons avoir de plus en plus de ""surprises"" pas sympathiques à l'avenir.   Il faut le dire encore et encore : les ""plans de transition"" doivent aussi pouvoir résister à des contextes très adverses (crises économiques, crises sociales, crises géopolitiques, crises environnementales...). Il ne faut pas compter sur la croissance verte pour s'attaquer aux problèmes... engendrés par la croissance pas verte.         ",449,4.0
Jean-Marc Jancovici,"Ma casserole contre ta voiture : la diminution de l'usage des combustibles fossiles sur une planète peuplée de 8 milliards d'individus va conduire de plus en plus fréquemment à des conflits sur l'utilisation des sols, dont le produit (la biomasse) est ""réclamée"" pour des usages multiples : - se nourrir - se déplacer en mode motorisé (carburants) - produire des matériaux (bois, coton ou lin, chanvre...) - profiter à la biodiversité (auquel cas on prélève un minimum car on ""laisse la nature tranquille"").  A ce la on peut rajouter un usage hors biomasse qui est d'implanter des bâtiments et infrastructures (voies de communication), qui peut inclure de la biomasse ""récréative"" (espaces verts, par exemple).  Aux USA la concurrence entre voitures et assiettes est déjà très significative sur le maïs. 40% des cultures de cette céréale servent à produire de l'éthanol pour mettre dans les réservoirs et non à nourrir des gens (peu !) ou des animaux (beaucoup). Et comme les détenteurs de voiture ont souvent plus de pouvoir d'achat que ceux qui n'en ont pas, il se passe alors le processus suivant, que l'on voit aussi arriver en Indonésie : l'achat de la denrée pour des usages énergétiques est plus rentable pour les producteurs que pour nourrir des gens.   Il est malheureusement probable que cette concurrence va s'amplifier à l'avenir, et que la tentative de basculer sur le flux solaire courant des usages qui se sont développés avec du déstockage de flux solaire ancien (les combustibles solides) va créer de plus en plus de tensions sur l'alimentation.         ",450,4.0
Jean-Marc Jancovici,"Un article paru dans The Guardian synthétise un article scientifique lui-même paru (hier) dans Nature Climate Change (https://lnkd.in/eK9avcK7 ) et qui porte sur l'évolution récente de la forêt amazonienne.  Les résultats ne sont guère rassurants (what else...) : la remise en état de la forêt après des sécheresses ou des incendies - eux-mêmes de plus en plus fréquents - est de plus en plus difficile.  Les chercheurs se demandent si la forêt n'est pas en train d'approcher d'un point de bascule, qui la verrait alors irrémédiablement se transformer pour une large part en forêt sèche ou en savane. Il en résulterait alors une perte massive de biodiversité, mais aussi de carbone, avec en retour une accélération du réchauffement - et de ses conséquences - partout ailleurs sur la planète.  Comme augmenter le thermostat planétaire un grand coup en très peu de temps (un siècle c'est très très court à l'échelle des temps géologiques) est une expérience inédite, sans précédent auquel se référer, la seule chose de certaine en pareil cas est qu'il y aura une partie de ""grand saut dans l'inconnu"".  En pratique, cela signifie que pour certains processus la compréhension de ce qui va se passer de manière fine arrivera beaucoup trop tard pour que l'on puisse alors y changer quoi que ce soit. Et il est illusoire d'attendre que tous nos problèmes de court terme soient réglés pour commencer à nous attaquer en grand au changement climatique : cette situation n'arrivera hélas jamais.         ",451,2.0
Jean-Marc Jancovici,"Il y a 15 jours The Shift Project publiait sous forme de livre le résultat de ses travaux sur la ""résilience des territoires"" (https://lnkd.in/eJ2mn-xt ). Ce projet tente de donner quelques clés de lecture et conseils pratiques aux élus locaux pour commencer à répondre à la question suivante : comment organiser la vie locale pour être plus aptes à résister à des perturbations croissantes tout en ayant moins de moyens ?  Ce projet a été lancé avant la guerre en Ukraine, qui, après le covid, illustre combien notre pays - et donc toutes ses collectivités - est dépendant de chaines d'approvisionnement longues qui sont autant de points de vulnérabilité dans un monde chahuté. et du chahut il va aussi y en avoir à cause du changement climatique, dont les premières manifestations sont déjà un peu désagréables,et qui vont nécessairement s'amplifier.  La Gazette des communes a souhaité organiser une ""discussion"" avec des élus locaux sur ce projet, ainsi que sur le plan de transformation de l'économie française (https://lnkd.in/esiqHkbf ) . En pratique j'ai été invité à présenter les grandes lignes du PTEF, puis il y a eu un tour de table des élu(e)s présent(e)s, puis j'ai planché sur le projet ""stratégie de résilience des territoires"", puis il y a de nouveau eu un (en fait plusieurs) tour de table pour avoir des réactions.  Pour celles et ceux qui ont l'habitude des débats sur des chaines de télévision avec des élus ""nationaux"", il sera facile de remarquer que le ton et le contenu des échanges est ici fort différent. D'abord personne ne se revendique d'une couleur politique pour ""cadrer"" son action locale (couleur qui n'est pas plus annoncée par l'animateur, à tel point que je suis bien incapable de dire qui était de quel bord).   Ceci allant peut-être avec cela, les panélistes ne se sont pas opposés pendant ce débat, où il a surtout été question de problèmes assez concrets auxquels ils étaient confrontés.   Depuis que je m'intéresse à la question de la décarbonation de la société, il y a un sujet récurrent de ""plus forte légitimité"" au sein du monde politique pour mener l'action, à savoir si c'est plutôt à l'Etat ou plutôt aux élus locaux de mener la barque.  La réponse est évidemment que nous avons besoin des deux. Laisser l'Etat en dehors de la planification de la décarbonation n'aurait pas de sens, mais laisser les élus locaux en dehors de la déclinaison locale de la mise en oeuvre n'en aurait pas plus. Mieux : plus il y aura d'élus locaux ayant bien compris le défi qui se présente, et plus il y en aura qui agiront de façon pertinente à leur niveau, et plus cela augmentera la probabilité que l'Etat soit sérieux sur la question.         ",452,4.0
Jean-Marc Jancovici,"Dans notre monde numérisé, même les personnes qui se penchent sur l'empreinte carbone du numérique... ont besoin de numérique !  Carbone 4 se cherche donc une personne à même de renforcer l'équipe IT (aussi sobre que possible, cela va sans dire) pour ""administrer"" le parc informatique (un peu moins conséquent que celui d'une banque, mais utilisé par des personnes si sympathiques :) ) et les réseaux.         ",453,4.0
Jean-Marc Jancovici,"Dimanche dernier, le Plan de Transformation de l'Economie Française était dans Le Monde (le journal, en attendant que ca soit sur la planète :) ).  J'ai reproduit le contenu de l'interview sur mon site, pour celles et ceux qui n'auraient pas eu accès au texte intégral de l'interview en question.         ",454,4.0
Jean-Marc Jancovici,"Je ne sais pas si c'est en entendant parler de sobriété que Thomas Hugues lève les yeux au ciel :), mais c'est entre autres de ce sujet dont il a été question lors de mon passage sur B Smart pour évoquer à la fois Le Monde sans Fin (désormais réapprovisionné de manière significative) et le Plan de Transformation de l'Economie Française (qui récupère plus doucement de sa rupture de stock - décidément une manie :) - mais la rémission, à savoir une réimpression conséquente, est en vue).   Un petit apéro de 20 minutes avant le film du soir !         ",455,4.0
Juliette Nouel," Tiens, et si on parlait -pendant le débat de la Présidentielle- du plus grand défi que l'Humanité ait à relever ! Eh oui, parce qu'après, ce sera trop tard...  Pas trop tard pour agir : il ne sera jamais trop tard pour diminuer nos émissions, car chaque dixième de degré de réchauffement évité compte.  Mais trop tard pour éviter des pertes et des dommages colossaux, et pour lesquels on aura dépassé les limites de l'adaptation.   Voilà pourquoi, rassemblées dans le collectif a-partisan QuotaClimat, de nombreuses associations interpellent dans une lettre ouverte les rédactions de TF1, France 2 ainsi que Léa Salamé et Gilles Bouleau, les deux journalistes qui animeront ce débat.   L'objectif : que 20 % des questions soient a minima consacrées aux enjeux écologiques.   Parmi les associations signataires de cette lettre : The Shift Project, Les Shifters, Pour un réveil écologique, +de Climat dans les médias, Collectif Citoyens pour le Climat / Citizens for Climate, France Nature Environnement, On Est Prêt, WWF et bien d'autres         ",456,4.0
Juliette Nouel,"#Breaking L'Agence Internationale de l'Énergie publie ce 18 mars un ""Plan en 10 points pour réduire notre consommation de pétrole"" : https://lnkd.in/eVWz9gmV  Ces mesures d'urgence peuvent rapidement réduire la demande mondiale de pétrole de 2,7 millions de barils par jour, réduisant ainsi le risque d'une crise d'approvisionnement, selon l'agence.  LES 10 POINTS ET LEURS IMPACTS calculés en kb/j (= mille barils de pétrole par jour) sont :   RÉDUIRE LA VITESSE SUR AUTOROUTES d'au moins 10 km/h.  Impact : Environ 290 kb/j de consommation de pétrole peuvent être économisés à court terme grâce à une réduction de seulement 10 km/h sur les autoroutes pour les voitures. 140 kb/j supplémentaires (principalement du diesel) peuvent être économisés si les poids lourds réduisent leur vitesse de 10 km/h.    TRAVAIL À DOMICILE jusqu'à trois jours par semaine si possible  Impact : Un jour par semaine permet d'économiser environ 170 kb/j ; trois jours économisent environ 500 kb/j (kb/j = mille barils de pétrole par jour)   DIMANCHES SANS VOITURE dans les villes  Impact : Chaque dimanche économise environ 380 kb/j ; un dimanche par mois économise 95 ko/j   UTILISATION DES TRANSPORTS EN COMMUN moins chère et encourager la micromobilité, la marche et le vélo  Impact : Économie d'environ 330 kb/j   ALTERNANCE DANS L'ACCÈS AUX GRANDES VILLES pour les voitures privées  Une réduction d'environ 210 kb/j de pétrole à court terme si l'accès alternatif en voiture est appliqué deux jours par semaine dans les grandes villes disposant de bonnes options de transport en commun.   AUGMENTER L'AUTO-PARTAGE et adopter des pratiques pour réduire la consommation de carburant  Impact : Une augmentation d'environ 50 % du taux d'occupation moyen des voitures dans les économies avancées pour 1 voyage sur 10 et l'adoption des meilleures pratiques pour réduire la consommation de carburant des voitures peuvent permettre d'économiser environ 470 kb/j de pétrole à court terme.   PROMOUVOIR UNE CONDUITE EFFICACE pour les camions de fret et la livraison de marchandises  Impact : Économie d'environ 320 kb/j   UTILISATION DES TRAINS à grande vitesse et de nuit au lieu d'avions dans la mesure du possible  Impact : économie d'environ 40 kb/j   ÉVITER L'AVION pour les voyages d'affaires là où des options alternatives existent  Impact : Économie d'environ 260 kb/j   ADOPTION RENFORCÉE DE VÉHICULES ÉLECTRIQUES plus performants  Impact : Économie d'environ 100 kb/j  Le rapport de l'AIE note que la réduction de la consommation de pétrole NE DOIT PAS RESTER UNE MESURE TEMPORAIRE Des réductions DURABLES sont importantes pour :   améliorer la sécurité énergétique des pays,    lutter contre le changement climatique    réduire la pollution atmosphérique.         ",457,3.0
