author,content,doc_id,note
Naida I.,"We are thrilled to announce the launch of the Antalis Creative Power Awards. In partnership with @TheBrandIdentity and with the support of @byMonotype, @hinderer.muehlich and @positiveluxury we want to share our passion for printed communications. In a digital world, print not only remains one of the most effective communication tools but is more over the most sustainable media.   Because choosing paper is a creative act, this programs aims at putting your creativity under the spotlight.  And thanks to our partners, you will also have the opportunity to attend webinars and learn more about eco-design, eco-print and how to accelerate your sustainability efforts.   #AntalisCreativePowerAwards2022 #ACPA2022 #antalis #acpa #paper #printisnotdead #branding #graphicdesign #print #communication #paperpassion ",397,4
Małgorzata ULAN,"The Eco-Design Directive which came into force in September 2021 foresees the phasing out of G13 fluorescent lamps from September 2023... More details in the Emerson white paper. It's time to switch to LED! Emerson offers the Appleton - ATX series of ATEX/ IECEx LED luminaires equivalent to fluorescent luminaires. Contact our sales team!         ",398,2
David Bol,"Quel sera l'impact du déploiement de la #5g sur l'empreinte carbone du réseau d'accès à l'Intenet mobile? C'est la question que Louis Golard s'est posée dans le cadre de son travail de fin d'études à l'Université catholique de Louvain. Il s'agit d'un des premiers travaux à utiliser une approche quantitative et scientifique pour répondre à cette question. Ce travail, réalisé en collaboration avec Proximus et supervisé par moi-même et Jérôme Louveaux, est primé par un HERA Award Sustainable IT. Pour découvrir la réponse à cette question (spoiler: ça ne va pas spécialement dans la bonne direction, surtout si la 5G s'accumule à la 4G, il y a du boulot pour adopter de la sobriété), suivez le webinaire de la Foundation for Future Generations. Il y aura deux autres questions très intéressantes discutées également sur le droit de la relation à la nature et la place de l'humain dans le concept de smart cities.         ",399,4
Jean-Marc Jancovici,"Puisque nous approchons du second tour, il me paraît important de ne pas laisser passer sans réagir des propos me concernant et qui sont directement liés aux discours de campagne.  Dans cet article de l'Opinion (dont je n'ai lu que les quelques § en libre accès) il est écrit que je pourrais devenir ministre dans un gouvernement nommé par Macron réélu.  Précisions : - je n'ai pas été contacté par l'auteure de ce papier - je n'ai jamais eu envie d'être ministre ou d'avoir un mandat politique au sens où on l'entend habituellement (député, maire etc) - en conséquence de quoi je n'ai jamais dit à personne chez LREM (ou ailleurs) que je souhaitais occuper cette fonction et que j'aurais récemment changé d'avis sur ce sujet.  Incidemment le programme décrit dans https://lnkd.in/esiqHkbf ne relève pas de 2 ministres particuliers. Il demanderait le concours de l'ensemble du gouvernement puisque quand il y a un projet de société il n'est pas détachable ""du reste"" qui ne serait pas concerné !         ",400,3
Juliette Nouel,"QuotaClimat Demain, c'est le débat de l'entre-deux-tours. Et si on suggérait aux journalistes Léa Salamé et Gilles Bouleau quelques questions à poser aux deux candidats sur le climat !  QUESTIONS DE BASE (juste pour bien savoir de quoi on parle)  De combien la température a-t-elle déjà augmenté depuis de début de l'ère industrielle dans le monde et en France ?  Quel est le rythme de réchauffement actuel par décennie ?  En conséquence, en quelle année atteindrons-nous l'objectif de +1,5°C que l'Accord de Paris fixait pour 2100 ?  SUR L'ÉNERGIE  Pourquoi toujours réduire le débat sur l'énergie au mix électrique et le débat sur le mix électrique au nucléaire vs renouvelable ?   Pourquoi ne pas clairement poser le débat sur la sobriété, alors que l'on doit réduire la consommation énergétique finale de 50 % en 2050 par rapport à 2012, avec un objectif intermédiaire de 20 % en 2030 ?  SUR L'ADAPTATION  Quel est le pourcentage de la population française déjà exposée de manière forte ou très forte au risque climatique ?  Que prévoyez-vous pour adapter la France aux conséquences du changement climatique et avec quel budget ?  SUR L'AGRICULTURE   Qu'allez-vous faire pour que la déclinaison française de la PAC soit conforme aux exigences écologiques de la Commission européenne (stratégie ""Farm to Fork""), qui vient de demander à la France de revoir son plan stratégique national (PSN) pour 2023-2027 (information du site Contexte)  QUESTIONS SPÉCIALES POUR LE PRÉSIDENT SORTANT Sachant que le programme de Marine Le Pen est tout simplement un désastre pour le climat, des questions spéciales pour le candidat E. Macron :   Quelles sont les nouvelles mesures proposées qui n’étaient pas déjà dans la Convention Citoyenne pour le Climat, et si elles y étaient déjà, comment garantir qu'une nouvelle Assemblée à majorité LREM ne les invalide pas de nouveau ? (question de Christophe Cassou)   Vous avez annoncé que votre 1er ministre aura en charge le climat (avec, à ses côtés, un ministre de la planification énergétique et un ministre de la planification territoriale). Mais pourquoi séparer le climat des autres enjeux, et notamment celui de la biodiversité ?   Garde-t-on un ministre de la transition écologique quitte à avoir 3 ministres en charge, peu ou prou, du même sujet ? (2 questions de Arnaud Gossement)  Quels nouveaux moyens donner aux administrations de l'écologie ? On constate en effet une déconnexion croissante entre les missions qui augmentent et les moyens qui baissent. On ne peut pas faire + avec - (voir ID, l’Info Durable https://lnkd.in/e5YFVaT8).  Pensez vous vraiment que la robotique, la génétique et le numérique sont l'avenir de l'agriculture (comme dit/suggéré dans votre programme et discours) ?  D'autres idées ? Cette liste est bien sûr à compléter. #GoGoGo ",401,3
Nicolas Breyton,"Via les Echos, le lobby des éoliennes s'enorgueillit de rembourser les subventions de l'Etat car le prix de l'électricité a été multiplié par 10. Les éoliennes seraient devenues rentables et restitueraient les subventions Etatiques en 2 ans, dont 3,7 MM€ en 2022. Vraiment?  1. L'Etat + le privé investissent ~300 MM€ en énergies intermittentes, sans investissement nouveau dans l'électricité pilotable sur 20 ans. 20 ans plus tard, les centrales pilotables toussent (normal!), et comme les allemands arrêtent leur elec' pilotable, la pénurie guette, les traders d'électricité s'affolent et les prix font *10 2. Les opérateurs d'éoliennes gagnent à tous les coups grâce au ""contract for difference"". Si le prix de 180 €/MWh n'est pas atteint, l'Etat abonde et paye la différence, si le prix est supérieur, les opérateurs sont rentables et rendent le surplus à l'Etat.  2. Mais l'Etat doit payer ailleurs : comme le prix de l'électricité devient inabordable pour les industries et les ménages, il doit subventionner TOUTE l'électricité (sur une assiette complète de l'électricité ). Pour éviter les fermetures massives d'usines et l'explosion des factures des ménages, 18 MM€ sont dépensés en ""bouclier fiscal"" rien que cet hiver. Les opérateurs d'éoliennes s'en fichent, puisque leurs marges sont garanties par leur contrat à terme. En revanche les fabricants d'éoliennes dégustent, car les prix des composants métalliques, importées à plus de 85 %, explosent de 250%, ce qui renchérit de 45% les prochaines éoliennes. La CSPE, taxe sur votre facture finançant les prochaines installations a été supprimée dans ce bouclier. Du coup, les opérateurs installés font de l'argent, mais les fabricants licencient à tour de bras. Le leader Européen vient d'annoncer un plan social de 270 personnes. On est loin de relocaliser! Et l'Etat ne pourra pas se permettre de faire un chèque de 18MM€ chaque hiver.  La conclusion est que la structure de ce marché est bancal et risque d'exploser, entraînant une bulle de 300 MM€ dans la tourmente. Un business en France qui ne produit pas de valeur réelle mais juste des problèmes d'intermittence de réseau et qui est en doublon du réseau pilotable, est amené à disparaître. Demain ou dans 5 ans, je n'en sais rien.  Voici un schéma qui explique, sûrement avec des approximations, le système du ""contract for difference"". Si l'électricité n'est pas assez chère par rapport à l'éolien, l'Etat donne aux marchands d'éoliennes, et si c'est trop cher, l'Etat subventionne les contribuables. Les opérateurs existants ne peuvent plus investir dans de nouvelles installations, ni dans de nouveaux clients (car lorsqu'il n'y a pas de vent, il faudrait payer l'électricité au prix marché de gros et non le prix Arenh, donc revendre à perte!).  Donc si les éoliennes sont rentables par pénurie de Pilotable, c'est que l'Etat, les industriels et les pauvres payent cher.    https://lnkd.in/dnDXj-TE ",402,2
David Bol,"Qui est partant pour une série de plusieurs conférences-débats télévisées au cours des prochaines semaines sur :  TF1, France 2, France 3, GROUPE M6, C8, W9, TMC, CNEWS, BFMTV aux heures de grande écoute avec :   - Jean-Marc Jancovici - Thomas Wagner - Timothée Parrique - Fabrice Bonnifet - Valérie Masson-Delmotte - Delphine Batho - Etienne KLEIN - #AurelienBarrau  Histoire de relever un peu le niveau journalistique et le contenu de cette campagne...  Afin de pouvoir partager des faits #scientifiques et des réflexions #philosophiques en lien avec les véritables défis sociétaux qui nous font face et nous menacent...  Afin que l'ensemble des Français de tous bords politiques puissent au moins prendre connaissance d'éléments permettant de rompre avec la boussole du ""PIB et de la #croissance à tout prix..."" (type rapport du GIEC, PTEF...)  Peut-être que si nous atteignons plusieurs centaines de milliers de partages de ce post une ""grande chaine"" pourrait se saisir de l'occasion...  Peut-être... (c'est beau de rêver)   LinkedIn merci de ton aide !         ",403,4
,,404,3
Jean-Marc Jancovici,"Ce week-end, le mouvement Extinction Rebellion démarre une opération de blocage d'un lieu parisien pour manifester contre l'inaction en matière de climat. Cette action est parfaitement illégale. En effet, elle entre dans la catégorie des manifestations non autorisées, et des entraves à la liberté de circuler (ce qui est aussi le cas des piquets de grève), toutes choses qui sont réprimées par la loi.  Mais est-elle immorale ? L'assimilation de la règle et de la morale est parfois moins évidente qu'il n'y paraît. Par exemple, il est actuellement parfaitement légal de se procurer une arme à feu aux USA avec des restrictions à cet accès qui sont minimes ou inexistantes. Est-ce moral ? Le tabac tue 70.000 personnes par an en France et est en vente libre (sauf aux mineurs en théorie mais la loi n'est à peu près jamais respectée) : est-ce moral ?  Payer 5 fois plus cher un salarié du secteur financier qu'un maçon qui isole des logements est parfaitement légal. Est-ce moral ? On pourrait multiplier ainsi les exemples de comportements qui sont parfaitement en phase avec la règle du moment mais qui sont pourtant l'objet de débats... sur le fait que la règle pourrait changer.  A l'inverse, comme je le rappelle dans cette brève interview que j'ai acceptée de faire pour ce mouvement, nous célébrons tous les 14 juillet un acte aujourd'hui considéré comme tout à fait moral - il s'agit de la révolution française - et qui était parfaitement illégal à l'époque.  L'occupation non autorisée de l'espace public n'est donc pas légale. Mais l'inaction sur le climat ne semble pas morale à une personne qui a aujourd'hui 25 ans (et même 60). Je serais probablement le premier à râler si j'étais un habitant de la zone concernée, mais on ne peut pas retirer aux manifestant(e)s une forme de légitimité devant notre apathie généralisée.  Au fond la seule question vue de ma fenêtre est de savoir si cela sera utile pour que nous soyons collectivement plus motivés à agir. Si la réponse est oui, le mal est vraiment bénin compte tenu du bénéfice. Si la réponse est non parce que cela braque trop de monde, il faut alors penser à autre chose.         ",405,2
Jean-Marc Jancovici,"Est-ce une petite overdose de méthode Coué, ou une fine analyse de ce qui s'est déroulé dans notre pays depuis quelques mois ? Dans une tribune parue hier dans Les Echos, Gaspard Koenig se réjouit du score très bas de Yannick Jadot au premier tour avec un argument qui ne manque pas d'intérêt... s'il est avéré :).   Son point est de dire que le destin des Verts est de disparaître parce que l'environnement sera devenu un thème ""ordinaire"" pour les autres partis politiques, ce qui signifie que nous sommes précisément au moment où la société toute entière souhaite que l'on s'en empare. Et il considère que nous y sommes.  Incidemment, The Shift Project est aussi concerné par le même argument : le destin de cette association est bien de s'auto-dissoudre lorsque le problème climatique aura été réglé ! (bon, j'ai bien peur que ca ne soit pas pour demain matin...).  Il se plaide donc qu'un parti dont l'objet est ""juste"" un aspect de notre vie en commun soit encore utile lorsque cet aspect est intégré par tous les autres.  De fait, notre pays ne comporte pas de parti pour le droit à l'apprentissage de la lecture ou pour le droit d'être propriétaire : ces sujets là étant d'intérêt pour tout le monde, tous les partis s'en emparent. Les modalités changent, non la pertinence de l'objectif.   Revenons donc à cette tribune : là où son auteur a probablement raison, c'est que l'environnement - et notamment la question climatique - devient un sujet ""ordinaire"" : une large fraction de la population attend clairement le monde politique sur la question, et tou(te)s les candidat(e)s ont évoqué le sujet, un peu ou beaucoup.  Par contre, aucun(e) ne lui a donné la place qu'il mérite, à savoir celle d'un sujet qui conditionne tout le reste (trop souvent aidés par des media qui soit ne l'ont pas compris, soit ne veulent pas le dire). C'est par ailleurs un pari audacieux de proposer de produire plus ou même autant dans un monde avec moins de ressources, ce qui était plus ou moins implicite dans tous les programmes du 1er tour.   De fait, avoir plus de redistribution dans un monde qui produit ""beaucoup plus proprement"" - donc moins - est une variante de la croissance verte, et a donc autant de chances de se produire que cette dernière.  L'auteur de la tribune a bien vu cette difficulté. Il ne compte pas sur le politique pour la résoudre, mais... sur nous tou(te)s. Il nous appelle à revisiter la notion de liberté qui ""[ne doit pas être] la possibilité d'étendre son pouvoir sur le monde, mais d'accroître son pouvoir sur soi, pour devenir aussi indépendant que possible des circonstances extérieures"". Pouvons nous désirer la sobriété en devenant tous stoïciens ?  Ce qui est certain, c'est qu'en démocratie ""tranquille"" le pouvoir élu ne sera pas plus courageux que ses électeurs, et en plus il l'est toujours avec 3 à 5 ans de retard. Seule une crise, ou une profonde modification de la hiérarchie des valeurs des électeurs peut changer la donne. Koenig appelle à la seconde option.         ",406,2
Jean-Marc Jancovici,"Il n'y a pas que la France qui ait connu un hiver plus sec que la normale, ce qui fait que les pluies récentes sont bienvenues (un avis qui ne semble pas partagé par les parisien(ne)s que j'entends se plaindre du ""mauvais temps"" dans le métro ; peut-être qu'ils et elles ne mangent pas et n'aiment pas les arbres :) ?).  Les USA ont aussi eu un hiver qui n'a pas permis de compenser l'état de sécheresse globalement exceptionnel que connaît la moitié ouest du pays en ce début de printemps : https://lnkd.in/dQVN83A  Résultats (entre autres) : - il y a déjà des incendies de forêt début avril : https://lnkd.in/eR74ts-n! - le plus grand lac de retenue du pays (le lac Powell) a un niveau historiquement bas (ci-dessous ; photos prises depuis l'espace par les satellites européens Sentinel 2), ce qui menace la production hydroélectrique ainsi que l'irrigation.  Rappelons que dans le cadre de la dérive climatique beaucoup de zones des moyennes latitudes vont s'assécher (voir en commentaire la variation d'humidité des sols pour le scénario à +2,7 °C en 2100). Ce que nous vivons en ce moment sur le prix des céréales à cause de l'Ukraine est malheureusement juste un petit avant-gout de ce qui nous attend dans un monde qui se réchauffe.   Notre ""transition"", quelle qu'elle soit, va donc se dérouler dans un monde de plus en plus volatil, où les ""mauvaises surprises"" vont se multiplier. Mais gageons que le débat du 2è tour interrogera les candidats comme si l'avenir ne devait dépendre que de variables à notre main...         ",407,2
Jean-Marc Jancovici,"Au Shift Project, nous sommes comme beaucoup de personnes intéressées/préoccupées par les sujets environnementaux : nous avons trouvé que pendant cette campagne le silence avait été un peu trop assourdissant sur nos sujets... qui sont aussi ceux de tous les habitants de ce grand vaisseau spatial qui s'appelle la terre.  Alors comme on n'est jamais mieux servi que par soi-même, nous avons décidé... de rédiger des questions que nous aimerions voir posées aux deux finalistes.  Elles sont un peu longues puisqu'il y a un ""exposé des motifs"" dans chaque question, mais cela ne prend quand même pas très longtemps de les lire !  Si des journalistes cuisinant parfois des politiques lisent ce post, ces questions sont bien évidemment recyclables (en les modifiant un peu au besoin) : - pour les législatives - pour toute intervention de tout ministre du futur gouvernement.  Et si les mêmes veulent d'autres suggestions, on leur en fournira avec plaisir !         ",408,2
Jean-Marc Jancovici,"Notre premier ministre Jean Castex a pris un jet privé pour aller voter. Argument invoqué : il faut qu'il puisse s'absenter le moins longtemps possible pour être prêt à réagir en cas de problème.  En Suède, les membres du gouvernement prennent le métro ou le vélo, et il n'est pas sur que ce pays gère moins bien ses urgences que le notre...  En fait, à l'heure où nous sommes connectés en permanence, il est évident que cet argument n'a aucune espèce de validité. En outre, le candidat choisi par Castex étant probablement un secret de Polichinelle, il aurait tout aussi bien pu faire une procuration à n'importe quel député LREM du coin qui se serait fait un plaisir d'y aller pour lui.   Admettons que Castex n'ait pas compris que cet aller-retour en jet privé était une provocation pour les jeunes (et les moins jeunes) effrayés par le changement climatique. Admettons qu'il n'ait pas compris que c'était une provocation pour les gens qui en ce moment sont prisonniers d'un carburant à 2 euros (même si les personnes concernées n'ont pas toujours écouté les incitations à acheter les voitures les plus sobres possibles de par le passé !).  Admettons qu'il n'ait pas compris que de surconsommer du carburant était aujourd'hui ""sur-financer"" Poutine alors même que nous faisons de grands discours appelant à l'inverse.  Il pourrait à tout le moins faire un petit mea culpa. Ca n'est pas déshonorant de présenter des excuses quand on a fait mal sans faire exprès. Ca nous arrive à tous quand nous faisons un geste brusque dans un pièce et qu'une personne que nous n'avions pas vue prend un coup (heureusement pas méchant l'essentiel du temps).  Par ailleurs quand un ministre a un comportent ou un discours qui le met en porte à faux avec la politique gouvernementale du moment il est généralement recadré par ""plus haut que lui"" (ici ce serait le chef de l'Etat).   Il est significatif qu'un tel recadrage n'ait pas (encore ?) eu lieu. Cela signifie qu'au fond il n'est pas très grave de se fiche de l'environnement quand on est premier ministre dans ce gouvernement (ca n'est pas mieux en face pour éviter tout malentendu !).         ",409,4
Jean-Marc Jancovici,"Un jeune (enfin pour moi !) à casquette s'intéressant à la science, sourçant ses informations, égrenant les conclusions du GIEC presque comme si c'était un air de rap, et tentant de donner la quintessence de ce qu'il faut savoir en vidéo et en quelques minutes, ça existe, ou bien c'est comme une fourmi de 3 mètres de long, personne n'a jamais vu cela ?  Eh bien oui ca existe : c'est le pari de Vinz Kanté, qui a pour ambition d'intéresser en particulier les jeunes - de toutes provenances - à la question environnementale (notamment climatique), et qui utilise pour cela les ""codes"" auxquels sont habitués cette génération : langage simple, propos directs, montage punchy, images bien choisies...  Le drame du vulgarisateur est résumé par cette maxime : ""ce qui est simple est faux, et ce qui ne l'est pas est incompréhensible"". Bien vulgariser est donc un métier difficile, puisque cela revient à faire ""simple et pas trop faux"". Pari réussi en l'espèce.         ",410,2
Jean-Marc Jancovici,"N'étant pas abonné au Parisien, je ne saurai pas ce qui est écrit exactement dans cet article. Mais l'essentiel, en l'espèce, est l'existence même d'un article sur les 50 ans de ce rapport dans un ""grand journal populaire"", dont la ligne éditoriale est de parler du quotidien de nos concitoyens.  Ce rapport, qui est une merveille de vulgarisation sur la dynamique des systèmes, a donc été publié il y a un demi-siècle. Que penser aujourd'hui de ce travail, qui ambitionnait de fournir les ""grandes tendances"" caractérisant une société humaine cherchant à maintenir la croissance de son activité aussi longtemps que possible ?  Quelques chercheurs ont comparé comment avaient évolué des indicateurs ""faciles à suivre"" dans la modélisation de Meadows et al. et dans la vraie vie : la population, ou la production agricole ou industrielle.   A l'époque, et avec les moyens informatiques disponibles alors, il était par contre difficile de faire un modèle incorporant des milliers de variables ""physiques"", comme les émissions de CO2, la consommation de pétrole ou de cuivre, ou encore les populations d'espèces. La modélisation a donc porté sur des indicateurs agrégés, comme par exemple ""l'ensemble des ressources non renouvelables"" ou ""l'ensemble de la pollution"".  Pour ces indicateurs là, la comparaison avec l'évolution du monde est plus délicate. Mais si l'on prend comme proxy de la pollution les émissions de gaz à effet de serre (ce n'est pas complètement idiot : le CO2 vient très majoritairement de l'énergie, or plus on utilise d'énergie plus on transforme, et plus on transforme plus il y a de sous-produits indésirables de cette transformation = de la pollution) et si l'on prend comme proxy des stocks de ressources naturelles non renouvelables les combustibles fossiles (pas complètement illégitime non plus : nous extrayons des ressources à peu près à proportion des combustibles fossiles utilisés) alors on voit que les projections du scénario ""ligne de pente"" (appelé aussi ""business as usual"") ne sont pas très éloignées de ce qui s'est vraiment passé : https://lnkd.in/gKxWieK ).  Et il est frappant de constater que, en ce début de 21è siècle, des pics ont déjà été franchis ou sont en passe de l'être : - le pic de poissons pêchés (1995) - le pic de production du pétrole conventionnel (2008) et tous pétroles au cours de cette décennie si ce n'est pas 2019 - le pic de la photosynthèse aux moyennes latitudes a peut-être été passé au début du siècle...  Dans ce contexte, la question de savoir quelle retraite nous toucherons en 2050 ne se présente pas pareil qu'avec de la croissance à gogo, mais cela n'a pas l'air de trop préoccuper nos finalistes de l'élection... ni les journalistes ""politiques"" qui leur tendent le micro. Pourtant, si un journaliste économique d'un ""quotidien populaire"" s'y met (David Charpentier), les journalistes politiques - dont le métier n'est pas juste de passer les plats - ont-ils encore une seule excuse valable pour garder des oeillères ?         ",411,2
Jean-Marc Jancovici,"L'été devrait être ""normal"" pour l'aérien en Europe, titrent Les Echos.  Question : qu'est-ce qu'une situation ""normale"" pour ce secteur, qui émet - selon la manière de compter - autant que la marine marchande, voire autant que les camions dans le monde, et qui utilise presque 10% du pétrole mondial, pour des usages de loisirs à 75%, et alors que les émissions planétaires doivent baisser de 5% par an pour que la limite des 2°C en 2100 soit tenue ?  Au regard du climat le trafic pré-covid ne peut pas être ""normal"" : dans son rapport ""Pouvoir voler en 2050"" (https://lnkd.in/d3h_4QA ) The Shift Project indiquait que, en ne faisant pas de pari intenable sur la technologie, le trafic devait baisser de 1% par an dès maintenant pour que l'aviation soit en ligne avec l'accord de Paris.  Au regard du pétrole le trafic actuel ne peut pas être normal : les 16 premiers producteurs de pétrole dans le monde hors Brésil et Canada devraient voir leur production baisser de 50% d'ici à 2050 (https://lnkd.in/dwPcgve ). Au titre de quoi l'avion - réservé à du loisir pour l'essentiel - devrait-il être prioritaire sur les camions et bateaux (qui acheminent notre nourriture, nos vêtements, nos meubles, notre électroménager, nos minerais et métaux, nos matériaux de construction, notre bois, etc) ou même sur les voitures, dont les 2/3 du kilométrage concernent des déplacements du quotidien ?   Si leur part dans le pétrole n'a pas de raison d'augmenter, alors le pétrole disponible pour les avions devrait en gros être divisé par 2 dans les 30 ans, même si le climat n'est pas un sujet.  Au vu de ce contexte, reposons nous la question : un trafic ""normal"" ne devrait-il pas être, en fait, un trafic décroissant ?         ",412,2
Jean-Marc Jancovici,"C'est en pleine crise de l'énergie en Allemagne (comme ailleurs) qu'elle sort : la traduction dans la langue de Goethe du Monde sans Fin (outre-Rhin ca devient ""Welt ohne Ende"" ; j'ai au moins appris ca !).  Nous n'y espérons évidemment pas les mêmes chiffres de vente que dans l'Hexagone :), mais... nous espérons que nous pourrons compter, au moins pour partie, sur le même processus ""d'aide à la diffusion"" que celui qui a eu lieu dans notre pays.  En effet, dans sa version française ce livre a une particularité : il est considéré par les ""militants de la cause"" comme le parfait cadeau à offrir pour que le ou la récipiendaire prenne conscience d'un défi dont il ou elle cernait mal les contours. Après quoi d'une part on peut espérer qu'il ou elle (récipiendaire) soit plus enclin(e) à accepter les mesures à prendre pour diminuer notre dépendance aux hydrocarbures, et incidemment qu'il arrête de regarder la personne qui lui a offert l'ouvrage comme gentiment foldingue ou obsédée :)  Malgré quelques pages sur le nucléaire qui seront peut-être encore plus un chiffon rouge outre Rhin que chez nous, j'espère qu'en Allemagne il en sera un peu de même, et notamment que des français qui y sont installés auront envie d'offrir cet ouvrage à leurs connaissances germanophones exactement comme cela s'est fait de ce côté ci de la frontière.  Peut-être même verrons nous des groupes français qui y ont des filiales qui décideront d'offrir ce livre à une large partie de leur personnel local, comme cela s'est déjà observé dans notre pays !  Des traductions sont également en cours en espagnol, anglais, et... néerlandais. Ne manque que le mandarin :)         ",413,4
Jean-Marc Jancovici,"A part rouspéter gentiment (un exercice usuel dans notre pays d'ex-gaulois), je ne suis pas sur que d'avoir rappelé que l'absence de l'environnement de la campagne présidentielle aura servi à quelque chose, mais enfin c'est fait.  Manifestement, dire encore et toujours que nous sommes plongés dans l'environnement, et que l'état de ce dernier conditionne par construction tout plan pour l'avenir prenant place dans d'autres domaines (notre économie, notre système social, notre liberté de déplacement, notre santé, etc), produit un effet limité sur les propositions politiques, qui au mieux tentent de ""cocher les cases"" dans ce domaine là (https://lnkd.in/eu-5pgqD et https://lnkd.in/ed9fQTYh ), mais sans nécessairement faire le lien avec le reste.  Cela continue à ne pas chagriner les candidat(e)s plus que ça de marier croissance avec baisse des émissions de CO2 (alors que la charge de la preuve en pareil cas est de leur côté ; voir par exemple https://lnkd.in/dDCe4YAm ou https://lnkd.in/gAthJhJ ), ou encore de planifier l'avenir pour un monde tranquille et sans cahots alors que le ""stress sur les ressources physiques"" va nous demander de piloter notre destin dans un monde volatil et chahuté.  La question qui se pose en pareil cas est de savoir qui sera a priori le ou la mieux placé(e) pour tenir compte au plus tôt de l'inéluctable ou de l'évident, nécessairement en violation, alors, d'une partie des promesses faites. Et je vous avoue que même moi n'ai pas de réponse évidente... alors qu'il faut voter !         ",414,4
Jean-Marc Jancovici,"Le titre de cet article pourrait faire penser qu'il a été écrit la nuit dernière, histoire de montrer que je suis ""à la page"" et que j'ai un peu suivi le résultat de ce premier tour.  En fait il date de... 2011, et avait été publié dans Les Echos à l'époque. En exhumant cette production des placards, je prends évidemment le risque que l'on y pointe quelques petits éléments qui ne sont pas complètement raccord avec les 10 ans que nous avons connus depuis (et l'emploi du mot ""décarbonisation"" plutôt que ""décarbonation"" !), mais c'est bien le sens général qu'il faut y voir.   Le sens général, qu'aucun(e) candidat(e) n'a mis en avant pendant cette campagne, est que l'économie est avant tout une affaire de flux physiques, que la décrue subie des combustibles fossiles est en route, et qu'elle contraint tout partout. Elle oblige à réaménager le territoire, à modifier les activités productives, à démondialiser pour partie, à repenser l'agriculture, à modifier l'industrie, bref à ""tout changer"" puisque ""tout a changé"" dans l'autre sens (voir la chose en dessins au besoin : https://lnkd.in/dtHn5pbD ).   Cela n'a pas été compris pendant le quinquennat qui s'achève, mais pas plus pendant ceux qui ont précédé. La faillite des anciens partis de gouvernement (PS et LR) a peut-être un lien avec ca.  Si nous sommes dans cette confusion aujourd'hui, nous le devons aussi... aux personnages ""civils"" qui ne cessent de dire que la croissance n'est qu'une affaire d'envie ou de volonté (le dernier en date est le patron de la BPI dans cette vidéo : https://lnkd.in/evQae8tc ). Cette inversion du lien de causalité entre PIB et disponibilité des ressources physiques structure par construction des programmes politiques qui font tous le pari de la croissance (à de rares exceptions près), et nous laisse donc ""à poil"" pour gérer le monde tel qu'il est réellement, avec une économie qui ne peut mieux se porter que la disponibilité des ressources physiques qui lui sont nécessaires.  Est-ce que de ressortir cet article des placards va aider pour choisir dans 15 jours, et surtout pour construire quelque chose d'adapté à l'époque ensuite ?  Peut-être pas... ou peut-être, puisque l'espoir fait vivre :). Dans tous les cas de figure, après les présidentielles viendront les législatives, et quel que soit le choix du premier magistrat il y aura toujours une vie civile qui comptera beaucoup. En outre bien malin(e) qui peut aujourd'hui prédire à quoi ressemblera l'Assemblée qui, pour le choix du gouvernement, a fatalement le dernier mot. La fin de l'histoire n'est heureusement pas encore totalement écrite.         ",415,4
